table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja-Hrkt,あまちょう,9000020325252,,
stops,stop_name,ja-Hrkt,とよだ,100_01,,
stops,stop_name,ja-Hrkt,あきやいりぐち,101_01,,
stops,stop_name,ja-Hrkt,きんこうじいりぐち,102_01,,
stops,stop_name,ja-Hrkt,あまゆうびんきょく,103_01,,
stops,stop_name,ja-Hrkt,うづかさんさろ,104_01,,
stops,stop_name,ja-Hrkt,うづかていし,105_01,,
stops,stop_name,ja-Hrkt,きたぶじゅうじろ,106_01,,
stops,stop_name,ja-Hrkt,あましょうがっこうまえ,107_01,,
stops,stop_name,ja-Hrkt,ひがし,108_01,,
stops,stop_name,ja-Hrkt,ひがししゃこまえ,109_01,,
stops,stop_name,ja-Hrkt,おきじんじゃまえ,110_01,,
stops,stop_name,ja-Hrkt,やくばまえ,111_01,,
stops,stop_name,ja-Hrkt,なかざとじゅうじろ,112_01,,
stops,stop_name,ja-Hrkt,あましんりょうしょ,113_01,,
stops,stop_name,ja-Hrkt,ちゅうがくひがしいりぐち,114_01,,
stops,stop_name,ja-Hrkt,ちゅうがっこうまえ,115_01,,
stops,stop_name,ja-Hrkt,にしこうえん,116_01,,
stops,stop_name,ja-Hrkt,にし,117_01,,
stops,stop_name,ja-Hrkt,にしいりぐち,118_01,,
stops,stop_name,ja-Hrkt,ふくい,119_01,,
stops,stop_name,ja-Hrkt,ふくいわかれ,120_01,,
stops,stop_name,ja-Hrkt,ふくいしょうがっこうまえ,121_01,,
stops,stop_name,ja-Hrkt,ひしうらいりぐち,122_01,,
stops,stop_name,ja-Hrkt,くわもとしょうてんまえ,123_01,,
stops,stop_name,ja-Hrkt,ひしうらゆうびんきょく,124_01,,
stops,stop_name,ja-Hrkt,こうこうした,125_01,,
stops,stop_name,ja-Hrkt,おききせんのりば,126_01,,
stops,stop_name,ja-Hrkt,ほぼみ,201_01,,
stops,stop_name,ja-Hrkt,ちちい,202_01,,
stops,stop_name,ja-Hrkt,みなみ,203_01,,
stops,stop_name,ja-Hrkt,みなみいりぐち,204_01,,
stops,stop_name,ja-Hrkt,さきいりぐち,205_01,,
stops,stop_name,ja-Hrkt,さきこう,206_01,,
stops,stop_name,ja-Hrkt,おおい,207_01,,
stops,stop_name,ja-Hrkt,ひすか,208_01,,
stops,stop_name,ja-Hrkt,ひのづ,209_01,,
