trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
T01_UGA_0707,07:07:00,07:07:00,nishinoshima_007,1,,,,1
T01_UGA_0707,07:11:00,07:11:00,nishinoshima_003,2,,,,1
T01_UGA_0707,07:14:00,07:14:00,nishinoshima_002,3,,,,1
T01_UGA_0707,07:17:00,07:17:00,nishinoshima_001,4,,,,1
T02_MAIN_0653,06:53:00,06:53:00,nishinoshima_023,1,,,,1
T02_MAIN_0653,06:57:00,06:57:00,nishinoshima_021,2,,,,1
T02_MAIN_0653,07:01:00,07:01:00,nishinoshima_020,3,,,,1
T02_MAIN_0653,07:03:00,07:03:00,nishinoshima_019,4,,,,1
T02_MAIN_0653,07:08:00,07:08:00,nishinoshima_018,5,,,,1
T02_MAIN_0653,07:09:00,07:09:00,nishinoshima_017,6,,,,1
T02_MAIN_0653,07:10:00,07:10:00,nishinoshima_016,7,,,,1
T02_MAIN_0653,07:11:00,07:11:00,nishinoshima_015,8,,,,1
T02_MAIN_0653,07:12:00,07:12:00,nishinoshima_014,9,,,,1
T02_MAIN_0653,07:13:00,07:13:00,nishinoshima_013,10,,,,1
T02_MAIN_0653,07:13:00,07:13:00,nishinoshima_012,11,,,,1
T02_MAIN_0653,07:15:00,07:15:00,nishinoshima_011,12,,,,1
T02_MAIN_0653,07:17:00,07:17:00,nishinoshima_009,13,,,,1
T02_MAIN_0653,07:21:00,07:21:00,nishinoshima_008,14,,,,1
T02_MAIN_0653,07:22:00,07:22:00,nishinoshima_007,15,,,,1
T02_MAIN_0653,07:23:00,07:23:00,nishinoshima_006,16,,,,1
T02_MAIN_0653,07:25:00,07:25:00,nishinoshima_005,17,,,,1
T03_CHINZAKI_SANDO_0725,07:25:00,07:25:00,nishinoshima_025,1,,,,1
T03_CHINZAKI_SANDO_0725,07:25:00,07:25:00,nishinoshima_024,2,,,,1
T03_CHINZAKI_SANDO_0725,07:35:00,07:35:00,nishinoshima_023,3,,,,1
T03_CHINZAKI_SANDO_0725,07:39:00,07:39:00,nishinoshima_021,4,,,,1
T03_CHINZAKI_SANDO_0725,07:43:00,07:43:00,nishinoshima_020,5,,,,1
T04_MAIN_0741,07:41:00,07:41:00,nishinoshima_021,1,,,,1
T04_MAIN_0741,07:45:00,07:45:00,nishinoshima_020,2,,,,1
T04_MAIN_0741,07:47:00,07:47:00,nishinoshima_019,3,,,,1
T04_MAIN_0741,07:52:00,07:52:00,nishinoshima_018,4,,,,1
