stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
nishinoshima_001,1,宇賀,西ノ島町営バス停留所マップ掲載停留所,36.11946400,133.07601300,,,0,,
nishinoshima_002,2,倉ノ谷,西ノ島町営バス停留所マップ掲載停留所,36.11479800,133.06567600,,,0,,
nishinoshima_003,3,物井,西ノ島町営バス停留所マップ掲載停留所,36.11217800,133.05372200,,,0,,
nishinoshima_004,4,大山,西ノ島町営バス停留所マップ掲載停留所,36.09642700,133.04367000,,,0,,
nishinoshima_005,5,島前病院,西ノ島町営バス停留所マップ掲載停留所,36.10662900,133.03679300,,,0,,
nishinoshima_006,6,隠岐汽船（別府港）,西ノ島町営バス停留所マップ掲載停留所,36.10752500,133.04161500,,,0,,
nishinoshima_007,7,別府交通センター,西ノ島町営バス停留所マップ掲載停留所,36.10898900,133.04091800,,,0,,
nishinoshima_008,8,美田尻,西ノ島町営バス停留所マップ掲載停留所,36.10827900,133.03793900,,,0,,
nishinoshima_009,9,ダム入口,西ノ島町営バス停留所マップ掲載停留所,36.09928300,133.01710600,,,0,,
nishinoshima_010,10,町民プール,西ノ島町営バス停留所マップ掲載停留所,36.09169700,133.01582800,,,0,,
nishinoshima_011,11,西ノ島町役場,西ノ島町営バス停留所マップ掲載停留所,36.09300700,132.99440300,,,0,,
nishinoshima_012,12,つる丸,西ノ島町営バス停留所マップ掲載停留所,36.09259800,133.01160400,,,0,,
nishinoshima_013,13,市部,西ノ島町営バス停留所マップ掲載停留所,36.09477699,133.01368487,,,0,,
nishinoshima_014,14,大津,西ノ島町営バス停留所マップ掲載停留所,36.09762300,133.01296400,,,0,,
nishinoshima_015,15,小向,西ノ島町営バス停留所マップ掲載停留所,36.10124480,133.01236508,,,0,,
nishinoshima_016,16,船越,西ノ島町営バス停留所マップ掲載停留所,36.10385199,133.00766482,,,0,,
nishinoshima_017,17,外浜,西ノ島町営バス停留所マップ掲載停留所,36.10656900,133.00642500,,,0,,
nishinoshima_018,18,小中学校,西ノ島町営バス停留所マップ掲載停留所,36.10419800,133.00533700,,,0,,
nishinoshima_019,19,図書館前,西ノ島町営バス停留所マップ掲載停留所,36.09344867,132.99920154,,,0,,
nishinoshima_020,20,浦郷,西ノ島町営バス停留所マップ掲載停留所,36.09273782,132.99520533,,,0,,
nishinoshima_021,21,由良車庫,西ノ島町営バス停留所マップ掲載停留所,36.09296125,132.98406064,,,0,,
nishinoshima_022,22,国賀,西ノ島町営バス停留所マップ掲載停留所,36.09764091,132.96632591,,,0,,
nishinoshima_023,23,赤ノ江,西ノ島町営バス停留所マップ掲載停留所,36.08481502,132.97606624,,,0,,
nishinoshima_024,24,珍崎,西ノ島町営バス停留所マップ掲載停留所,36.06584895,132.98517594,,,0,,
nishinoshima_025,25,三度,西ノ島町営バス停留所マップ掲載停留所,36.06473600,132.95561100,,,0,,
nishinoshima_026,26,波止,西ノ島町営バス停留所マップ掲載停留所,36.07446789,133.01485121,,,0,,
nishinoshima_027,27,浦郷観光船のりば,西ノ島町営バス停留所マップ掲載停留所,36.09271694,132.99378312,,,0,,
