route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
10,9000020325252,,豊田線,,3,E26B0A,000000
21,9000020325252,,海士島線1,,3,00B0F0,000000
22,9000020325252,,海士島線2,,3,00B0F0,000000
23,9000020325252,,海士島線3,,3,00B0F0,000000
24,9000020325252,,海士島線4,,3,00B0F0,000000
25,9000020325252,,海士島線5,,3,00B0F0,000000
26,9000020325252,,海士島線6,,3,00B0F0,000000
27,9000020325252,,海士島線7,,3,00B0F0,000000
28,9000020325252,,海士島線8,,3,00B0F0,000000
29,9000020325252,,海士島線9,,3,00B0F0,000000
