service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
R8_TOYODA_P1_01_weekday,1,1,1,1,1,0,0,20260102,20260228
R8_TOYODA_P1_01_holiday,0,0,0,0,0,1,1,20260102,20260228
R8_TOYODA_P2_01_weekday,1,1,1,1,1,0,0,20260301,20260308
R8_TOYODA_P2_02_weekday,1,1,1,1,1,0,0,20260601,20260717
R8_TOYODA_P2_03_weekday,1,1,1,1,1,0,0,20260901,20261009
R8_TOYODA_P2_04_weekday,1,1,1,1,1,0,0,20261109,20261220
R8_TOYODA_P2_01_holiday,0,0,0,0,0,1,1,20260301,20260308
R8_TOYODA_P2_02_holiday,0,0,0,0,0,1,1,20260601,20260717
R8_TOYODA_P2_03_holiday,0,0,0,0,0,1,1,20260901,20261009
R8_TOYODA_P2_04_holiday,0,0,0,0,0,1,1,20261109,20261220
R8_TOYODA_P3_01_weekday,1,1,1,1,1,0,0,20260309,20260531
R8_TOYODA_P3_02_weekday,1,1,1,1,1,0,0,20260718,20260831
R8_TOYODA_P3_03_weekday,1,1,1,1,1,0,0,20261010,20261108
R8_TOYODA_P3_04_weekday,1,1,1,1,1,0,0,20261221,20261231
R8_TOYODA_P3_01_holiday,0,0,0,0,0,1,1,20260309,20260531
R8_TOYODA_P3_02_holiday,0,0,0,0,0,1,1,20260718,20260831
R8_TOYODA_P3_03_holiday,0,0,0,0,0,1,1,20261010,20261108
R8_TOYODA_P3_04_holiday,0,0,0,0,0,1,1,20261221,20261231
R8_AMA_P1_01_weekday,1,1,1,1,1,0,0,20260102,20260228
R8_AMA_P1_01_holiday,0,0,0,0,0,1,1,20260102,20260228
R8_AMA_P2_01_weekday,1,1,1,1,1,0,0,20260301,20260308
R8_AMA_P2_02_weekday,1,1,1,1,1,0,0,20260601,20260717
R8_AMA_P2_01_holiday,0,0,0,0,0,1,1,20260301,20260308
R8_AMA_P2_02_holiday,0,0,0,0,0,1,1,20260601,20260717
R8_AMA_P3_01_weekday,1,1,1,1,1,0,0,20260309,20260531
R8_AMA_P3_02_weekday,1,1,1,1,1,0,0,20260718,20260831
R8_AMA_P3_01_holiday,0,0,0,0,0,1,1,20260309,20260531
R8_AMA_P3_02_holiday,0,0,0,0,0,1,1,20260718,20260831
R8_AMA_P4_01_weekday,1,1,1,1,1,0,0,20260901,20261009
R8_AMA_P4_02_weekday,1,1,1,1,1,0,0,20261109,20261220
R8_AMA_P4_01_holiday,0,0,0,0,0,1,1,20260901,20261009
R8_AMA_P4_02_holiday,0,0,0,0,0,1,1,20261109,20261220
R8_AMA_P5_01_weekday,1,1,1,1,1,0,0,20261010,20261108
R8_AMA_P5_02_weekday,1,1,1,1,1,0,0,20261221,20261231
R8_AMA_P5_01_holiday,0,0,0,0,0,1,1,20261010,20261108
R8_AMA_P5_02_holiday,0,0,0,0,0,1,1,20261221,20261231
