trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:30:00,07:30:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:31:00,07:31:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:33:00,07:33:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:36:00,07:36:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:38:00,07:38:00,104_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:39:00,07:39:00,105_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:41:00,07:41:00,106_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:42:00,07:42:00,107_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:43:00,07:43:00,108_01,9,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:45:00,07:45:00,109_01,10,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:46:00,07:46:00,110_01,11,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:46:00,07:46:00,111_01,12,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:47:00,07:47:00,112_01,13,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:48:00,07:48:00,113_01,14,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:49:00,07:49:00,114_01,15,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:50:00,07:50:00,115_01,16,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:51:00,07:51:00,116_01,17,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:51:00,07:51:00,117_01,18,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:52:00,07:52:00,118_01,19,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:53:00,07:53:00,119_01,20,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:54:00,07:54:00,120_01,21,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:55:00,07:55:00,121_01,22,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:56:00,07:56:00,122_01,23,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:57:00,07:57:00,123_01,24,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:58:00,07:58:00,124_01,25,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,07:59:00,07:59:00,125_01,26,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F1_730,08:00:00,08:00:00,126_01,27,隠岐汽船乗り場,1,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,08:55:00,08:55:00,100_01,1,隠岐汽船乗り場,0,1,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,08:56:00,08:56:00,101_01,2,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,08:58:00,08:58:00,102_01,3,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:01:00,09:01:00,103_01,4,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:03:00,09:03:00,104_01,5,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:04:00,09:04:00,105_01,6,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:06:00,09:06:00,106_01,7,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:07:00,09:07:00,107_01,8,隠岐汽船乗り場,0,0,1
R8_10_R8_TOYODA_P1_01_weekday_F2_855,09:08:00,09:08:00,108_01,9,隠岐汽船乗り場,0,0,1
