stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
100_01,,豊田,,36.105471,133.125968,100_01,,0,
101_01,,明屋入口,,36.108953,133.128711,101_01,,0,
102_01,,金光寺入口,,36.108301,133.121689,102_01,,0,
103_01,,海士郵便局,,36.106111,133.107931,103_01,,0,
104_01,,宇受賀三叉路,,36.112378,133.106634,104_01,,0,
105_01,,宇受賀豊子,,36.111435,133.104298,105_01,,0,
106_01,,北分十字路,,36.105652,133.100537,106_01,,0,
107_01,,海士小学校前,,36.105043,133.107021,107_01,,0,
108_01,,東,,36.101815,133.107247,108_01,,0,
109_01,,東車庫前,,36.100604,133.105911,109_01,,0,
110_01,,隠岐神社前,,36.097104,133.098744,110_01,,0,
111_01,,役場前,,36.096178,133.097043,111_01,,0,
112_01,,中里十字路,,36.095001,133.095132,112_01,,0,
113_01,,海士診療所,,36.095754,133.094783,113_01,,0,
114_01,,中学東入口,,36.092611,133.089866,114_01,,0,
115_01,,中学校前,,36.089939,133.088953,115_01,,0,
116_01,,西公園,,36.089121,133.085794,116_01,,0,
117_01,,西,,36.087693,133.082737,117_01,,0,
118_01,,西入口,,36.086348,133.079677,118_01,,0,
119_01,,福井,,36.089481,133.079881,119_01,,0,
120_01,,福井分かれ,,36.092452,133.083025,120_01,,0,
121_01,,福井小学校前,,36.098056,133.085833,121_01,,0,
122_01,,菱浦入口,,36.102129,133.081792,122_01,,0,
123_01,,桑本商店前,,36.101939,133.079097,123_01,,0,
124_01,,菱浦郵便局,,36.101983,133.077772,124_01,,0,
125_01,,高校下,,36.103221,133.076587,125_01,,0,
126_01,,隠岐汽船乗り場,,36.105058,133.076744,126_01,,0,
201_01,,保々見,,36.083489,133.117343,201_01,,0,
202_01,,知々井,,36.077947,133.113187,202_01,,0,
203_01,,御波,御波公民館前,36.072528,133.097594,203_01,,0,
204_01,,御波入口,,36.072218,133.095851,204_01,,0,
205_01,,崎入口,,36.050857,133.082686,205_01,,0,
206_01,,崎港,,36.051001,133.085446,206_01,,0,
207_01,,多井,,36.058392,133.093319,207_01,,0,
208_01,,日須賀,,36.068606,133.079989,208_01,,0,
209_01,,日ノ津,,36.081661,133.075461,209_01,,0,
