route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id,jp_trip_desc,jp_pattern_id
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F1_730,隠岐汽船乗り場,0,,,,,R8_TOYODA_F11
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F2_855,隠岐汽船乗り場,0,,,,,R8_TOYODA_F12
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F3_1025,東車庫前,0,,,,,R8_TOYODA_F13
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F4_1220,隠岐汽船乗り場,0,,,,,R8_TOYODA_F14
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F5_1425,隠岐汽船乗り場,0,,,,,R8_TOYODA_F15
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F6_1610,隠岐汽船乗り場,0,,,,,R8_TOYODA_F16
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F7_1715,隠岐汽船乗り場,0,,,,,R8_TOYODA_F17
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_F8_1820,東車庫前,0,,,,,R8_TOYODA_F18
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R1_720,豊田,1,,,,,R8_TOYODA_R11
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R2_810,豊田,1,,,,,R8_TOYODA_R12
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R3_955,豊田,1,,,,,R8_TOYODA_R13
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R4_1210,豊田,1,,,,,R8_TOYODA_R14
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R5_1325,豊田,1,,,,,R8_TOYODA_R15
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R6_1545,豊田,1,,,,,R8_TOYODA_R16
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R7_1640,豊田,1,,,,,R8_TOYODA_R17
10,R8_TOYODA_P1_01_weekday,R8_10_R8_TOYODA_P1_01_weekday_R8_1750,豊田,1,,,,,R8_TOYODA_R18
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F1_730,隠岐汽船乗り場,0,,,,,R8_TOYODA_F11
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F2_855,隠岐汽船乗り場,0,,,,,R8_TOYODA_F12
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F3_1025,東車庫前,0,,,,,R8_TOYODA_F13
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F4_1220,隠岐汽船乗り場,0,,,,,R8_TOYODA_F14
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F5_1425,隠岐汽船乗り場,0,,,,,R8_TOYODA_F15
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F6_1610,隠岐汽船乗り場,0,,,,,R8_TOYODA_F16
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F7_1715,隠岐汽船乗り場,0,,,,,R8_TOYODA_F17
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_F8_1820,東車庫前,0,,,,,R8_TOYODA_F18
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R1_720,豊田,1,,,,,R8_TOYODA_R11
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R2_810,豊田,1,,,,,R8_TOYODA_R12
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R3_955,豊田,1,,,,,R8_TOYODA_R13
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R4_1210,豊田,1,,,,,R8_TOYODA_R14
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R5_1325,豊田,1,,,,,R8_TOYODA_R15
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R6_1545,豊田,1,,,,,R8_TOYODA_R16
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R7_1640,豊田,1,,,,,R8_TOYODA_R17
10,R8_TOYODA_P1_01_holiday,R8_10_R8_TOYODA_P1_01_holiday_R8_1750,豊田,1,,,,,R8_TOYODA_R18
10,R8_TOYODA_P2_01_weekday,R8_10_R8_TOYODA_P2_01_weekday_F1_715,隠岐汽船乗り場,0,,,,,R8_TOYODA_F21
10,R8_TOYODA_P2_01_weekday,R8_10_R8_TOYODA_P2_01_weekday_F2_850,隠岐汽船乗り場,0,,,,,R8_TOYODA_F22
10,R8_TOYODA_P2_01_weekday,R8_10_R8_TOYODA_P2_01_weekday_F3_1025,東車庫前,0,,,,,R8_TOYODA_F23
