service_id,date,exception_type
R8_TOYODA_P1_01_weekday,20260112,2
R8_TOYODA_P1_01_weekday,20260211,2
R8_TOYODA_P1_01_weekday,20260223,2
R8_TOYODA_P1_01_holiday,20260112,1
R8_TOYODA_P1_01_holiday,20260211,1
R8_TOYODA_P1_01_holiday,20260223,1
R8_TOYODA_P3_01_weekday,20260320,2
R8_TOYODA_P3_01_weekday,20260429,2
R8_TOYODA_P3_01_weekday,20260503,2
R8_TOYODA_P3_01_weekday,20260504,2
R8_TOYODA_P3_01_weekday,20260505,2
R8_TOYODA_P3_01_weekday,20260506,2
R8_TOYODA_P3_01_holiday,20260320,1
R8_TOYODA_P3_01_holiday,20260429,1
R8_TOYODA_P3_01_holiday,20260504,1
R8_TOYODA_P3_01_holiday,20260505,1
R8_TOYODA_P3_01_holiday,20260506,1
R8_TOYODA_P2_02_weekday,20260720,2
R8_TOYODA_P2_03_weekday,20260921,2
R8_TOYODA_P2_03_weekday,20260922,2
R8_TOYODA_P2_03_weekday,20260923,2
R8_TOYODA_P2_03_weekday,20261012,2
R8_TOYODA_P2_03_weekday,20261103,2
R8_TOYODA_P2_03_weekday,20261123,2
R8_TOYODA_P2_02_holiday,20260720,1
R8_TOYODA_P2_03_holiday,20260921,1
R8_TOYODA_P2_03_holiday,20260922,1
R8_TOYODA_P2_03_holiday,20260923,1
R8_TOYODA_P2_03_holiday,20261012,1
R8_TOYODA_P2_03_holiday,20261103,1
R8_TOYODA_P2_03_holiday,20261123,1
R8_TOYODA_P3_02_weekday,20260811,2
R8_TOYODA_P3_02_holiday,20260811,1
R8_AMA_P1_01_weekday,20260112,2
R8_AMA_P1_01_weekday,20260211,2
R8_AMA_P1_01_weekday,20260223,2
R8_AMA_P1_01_holiday,20260112,1
R8_AMA_P1_01_holiday,20260211,1
R8_AMA_P1_01_holiday,20260223,1
R8_AMA_P3_01_weekday,20260320,2
R8_AMA_P3_01_weekday,20260429,2
R8_AMA_P3_01_weekday,20260503,2
R8_AMA_P3_01_weekday,20260504,2
R8_AMA_P3_01_weekday,20260505,2
R8_AMA_P3_01_weekday,20260506,2
R8_AMA_P3_01_holiday,20260320,1
R8_AMA_P3_01_holiday,20260429,1
R8_AMA_P3_01_holiday,20260504,1
R8_AMA_P3_01_holiday,20260505,1
R8_AMA_P3_01_holiday,20260506,1
R8_AMA_P2_02_weekday,20260720,2
R8_AMA_P2_02_holiday,20260720,1
R8_AMA_P3_02_weekday,20260811,2
R8_AMA_P3_02_holiday,20260811,1
R8_AMA_P4_01_weekday,20260921,2
R8_AMA_P4_01_weekday,20260922,2
R8_AMA_P4_01_weekday,20260923,2
R8_AMA_P4_01_weekday,20261012,2
R8_AMA_P4_01_weekday,20261103,2
R8_AMA_P4_01_weekday,20261123,2
R8_AMA_P4_01_holiday,20260921,1
R8_AMA_P4_01_holiday,20260922,1
R8_AMA_P4_01_holiday,20260923,1
R8_AMA_P4_01_holiday,20261012,1
R8_AMA_P4_01_holiday,20261103,1
R8_AMA_P4_01_holiday,20261123,1
