trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_0824_01,08:24:00,08:24:00,sakaiminato_station,1,,,,1
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_0824_01,08:39:00,08:39:00,shichirui_port,2,,,,1
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_1607_02,16:07:00,16:07:00,sakaiminato_station,1,,,,1
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_1607_02,16:22:00,16:22:00,shichirui_port,2,,,,1
HATSUMI_20260608_SHICHIRUI_SAKAIMINATO_1005_03,10:05:00,10:05:00,shichirui_port,1,,,,1
HATSUMI_20260608_SHICHIRUI_SAKAIMINATO_1005_03,10:20:00,10:20:00,sakaiminato_station,2,,,,1
HATSUMI_20260608_SHICHIRUI_SAKAIMINATO_1810_04,18:10:00,18:10:00,shichirui_port,1,,,,1
HATSUMI_20260608_SHICHIRUI_SAKAIMINATO_1810_04,18:25:00,18:25:00,sakaiminato_station,2,,,,1
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_1325_05,13:25:00,13:25:00,sakaiminato_station,1,,,,1
HATSUMI_20260608_SAKAIMINATO_SHICHIRUI_1325_05,13:40:00,13:40:00,shichirui_port,2,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_0824_01,08:24:00,08:24:00,sakaiminato_station,1,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_0824_01,08:39:00,08:39:00,shichirui_port,2,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_1404_02,14:04:00,14:04:00,sakaiminato_station,1,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_1404_02,14:19:00,14:19:00,shichirui_port,2,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_1607_03,16:07:00,16:07:00,sakaiminato_station,1,,,,1
HATSUMI_20260808_SAKAIMINATO_SHICHIRUI_1607_03,16:22:00,16:22:00,shichirui_port,2,,,,1
HATSUMI_20260808_SHICHIRUI_SAKAIMINATO_1425_04,14:25:00,14:25:00,shichirui_port,1,,,,1
HATSUMI_20260808_SHICHIRUI_SAKAIMINATO_1425_04,14:40:00,14:40:00,sakaiminato_station,2,,,,1
