trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
ICHIBATA_SHICHIRUI_20260401_OUT_0750_01,07:50:00,07:50:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260401_OUT_0750_01,07:55:00,07:55:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260401_OUT_0750_01,08:30:00,08:30:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260401_OUT_1540_02,15:40:00,15:40:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260401_OUT_1540_02,15:45:00,15:45:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260401_OUT_1540_02,16:20:00,16:20:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1003_01,10:03:00,10:03:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1003_01,10:38:00,10:38:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1003_01,10:43:00,10:43:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1745_02,17:45:00,17:45:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1745_02,18:20:00,18:20:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1745_02,18:25:00,18:25:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1800_03,18:00:00,18:00:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1800_03,18:35:00,18:35:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260401_IN_1800_03,18:40:00,18:40:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_0750_01,07:50:00,07:50:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_0750_01,07:55:00,07:55:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_0750_01,08:30:00,08:30:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_1540_02,15:40:00,15:40:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_1540_02,15:45:00,15:45:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260501_OUT_1540_02,16:20:00,16:20:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1512_01,15:12:00,15:12:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1512_01,15:47:00,15:47:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1512_01,15:52:00,15:52:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1745_02,17:45:00,17:45:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1745_02,18:20:00,18:20:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1745_02,18:25:00,18:25:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1800_03,18:00:00,18:00:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1800_03,18:35:00,18:35:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260501_IN_1800_03,18:40:00,18:40:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_0750_01,07:50:00,07:50:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_0750_01,07:55:00,07:55:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_0750_01,08:30:00,08:30:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_1540_02,15:40:00,15:40:00,matsue_station,1,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_1540_02,15:45:00,15:45:00,fuzoku_gakuen_iriguchi,2,,,,1
ICHIBATA_SHICHIRUI_20260507_OUT_1540_02,16:20:00,16:20:00,shichirui_port,3,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1003_01,10:03:00,10:03:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1003_01,10:38:00,10:38:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1003_01,10:43:00,10:43:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1745_02,17:45:00,17:45:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1745_02,18:20:00,18:20:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1745_02,18:25:00,18:25:00,matsue_station,3,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1800_03,18:00:00,18:00:00,shichirui_port,1,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1800_03,18:35:00,18:35:00,rainbow_plaza_mae,2,,,,1
ICHIBATA_SHICHIRUI_20260507_IN_1800_03,18:40:00,18:40:00,matsue_station,3,,,,1
