trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
OKI_ICHIBATA_GOKA_0_01_0829,08:29:00,08:29:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,08:45:00,08:45:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,08:53:00,08:53:00,kuramibashi,3,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,09:06:00,09:06:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,09:09:00,09:09:00,goka_clinic,5,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,09:14:00,09:14:00,goka_branch,6,,0,0,1
OKI_ICHIBATA_GOKA_0_01_0829,09:19:00,09:19:00,fukuura,7,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,12:28:00,12:28:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,12:32:00,12:32:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,12:40:00,12:40:00,kuramibashi,3,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,12:53:00,12:53:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,12:56:00,12:56:00,goka_clinic,5,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,13:01:00,13:01:00,goka_branch,6,,0,0,1
OKI_ICHIBATA_GOKA_0_02_1228,13:06:00,13:06:00,fukuura,7,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,14:58:00,14:58:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:02:00,15:02:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:10:00,15:10:00,kuramibashi,3,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:23:00,15:23:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:26:00,15:26:00,goka_clinic,5,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:31:00,15:31:00,goka_branch,6,,0,0,1
OKI_ICHIBATA_GOKA_0_03_1458,15:36:00,15:36:00,fukuura,7,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,17:46:00,17:46:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,17:50:00,17:50:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,17:56:00,17:56:00,oki_high_school,3,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,18:01:00,18:01:00,kuramibashi,4,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,18:14:00,18:14:00,mizuwakasu_shrine,5,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,18:17:00,18:17:00,goka_clinic,6,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,18:22:00,18:22:00,goka_branch,7,,0,0,1
OKI_ICHIBATA_GOKA_0_04_1746,18:27:00,18:27:00,fukuura,8,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:18:00,07:18:00,fukuura,1,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:23:00,07:23:00,goka_branch,2,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:28:00,07:28:00,goka_clinic,3,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:31:00,07:31:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:44:00,07:44:00,kuramibashi,5,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:49:00,07:49:00,oki_high_school,6,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:55:00,07:55:00,oki_hospital,7,,0,0,1
OKI_ICHIBATA_GOKA_1_01_0718,07:59:00,07:59:00,eigyosho,8,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,09:56:00,09:56:00,fukuura,1,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:01:00,10:01:00,goka_branch,2,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:06:00,10:06:00,goka_clinic,3,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:09:00,10:09:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:22:00,10:22:00,kuramibashi,5,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:30:00,10:30:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_GOKA_1_02_0956,10:46:00,10:46:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,13:36:00,13:36:00,fukuura,1,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,13:41:00,13:41:00,goka_branch,2,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,13:46:00,13:46:00,goka_clinic,3,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,13:49:00,13:49:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,14:02:00,14:02:00,kuramibashi,5,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,14:10:00,14:10:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_GOKA_1_03_1336,14:14:00,14:14:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,15:56:00,15:56:00,fukuura,1,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:01:00,16:01:00,goka_branch,2,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:06:00,16:06:00,goka_clinic,3,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:09:00,16:09:00,mizuwakasu_shrine,4,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:22:00,16:22:00,kuramibashi,5,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:30:00,16:30:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_GOKA_1_04_1556,16:34:00,16:34:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,08:48:00,08:48:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,08:52:00,08:52:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,08:58:00,08:58:00,yakuba_mae,3,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,09:08:00,09:08:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,09:17:00,09:17:00,takugi,5,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,09:24:00,09:24:00,tsudo,6,,0,0,1
OKI_ICHIBATA_TSUMA_0_01_0848,09:32:00,09:32:00,tsuma_mukoyama,7,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,12:14:00,12:14:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,12:30:00,12:30:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,12:36:00,12:36:00,yakuba_mae,3,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,12:46:00,12:46:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,12:55:00,12:55:00,takugi,5,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,13:02:00,13:02:00,tsudo,6,,0,0,1
OKI_ICHIBATA_TSUMA_0_02_1214,13:10:00,13:10:00,tsuma_mukoyama,7,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,14:34:00,14:34:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:04:00,15:04:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:10:00,15:10:00,yakuba_mae,3,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:20:00,15:20:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:29:00,15:29:00,takugi,5,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:36:00,15:36:00,tsudo,6,,0,0,1
OKI_ICHIBATA_TSUMA_0_03_1434,15:44:00,15:44:00,tsuma_mukoyama,7,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,17:48:00,17:48:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,17:52:00,17:52:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,17:58:00,17:58:00,oki_high_school,3,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,18:02:00,18:02:00,yakuba_mae,4,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,18:12:00,18:12:00,kamo,5,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,18:21:00,18:21:00,takugi,6,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,18:28:00,18:28:00,tsudo,7,,0,0,1
OKI_ICHIBATA_TSUMA_0_04_1748,18:36:00,18:36:00,tsuma_mukoyama,8,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:11:00,07:11:00,tsuma_mukoyama,1,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:19:00,07:19:00,tsudo,2,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:26:00,07:26:00,takugi,3,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:35:00,07:35:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:45:00,07:45:00,yakuba_mae,5,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:49:00,07:49:00,oki_high_school,6,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:55:00,07:55:00,oki_hospital,7,,0,0,1
OKI_ICHIBATA_TSUMA_1_01_0711,07:59:00,07:59:00,eigyosho,8,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,09:45:00,09:45:00,tsuma_mukoyama,1,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,09:53:00,09:53:00,tsudo,2,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,10:00:00,10:00:00,takugi,3,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,10:09:00,10:09:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,10:19:00,10:19:00,yakuba_mae,5,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,10:25:00,10:25:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_TSUMA_1_02_0945,10:29:00,10:29:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,13:25:00,13:25:00,tsuma_mukoyama,1,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,13:33:00,13:33:00,tsudo,2,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,13:40:00,13:40:00,takugi,3,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,13:49:00,13:49:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,13:59:00,13:59:00,yakuba_mae,5,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,14:05:00,14:05:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_TSUMA_1_03_1325,14:09:00,14:09:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,15:50:00,15:50:00,tsuma_mukoyama,1,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,15:58:00,15:58:00,tsudo,2,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,16:05:00,16:05:00,takugi,3,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,16:14:00,16:14:00,kamo,4,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,16:24:00,16:24:00,yakuba_mae,5,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,16:30:00,16:30:00,oki_hospital,6,,0,0,1
OKI_ICHIBATA_TSUMA_1_04_1550,16:34:00,16:34:00,eigyosho,7,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,08:50:00,08:50:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,08:54:00,08:54:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,08:59:00,08:59:00,kokubunji_iriguchi,3,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,09:02:00,09:02:00,kuramibashi,4,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,09:19:00,09:19:00,nakamura,5,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,09:23:00,09:23:00,nishimura,6,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_01_0850,09:27:00,09:27:00,igo,7,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,11:53:00,11:53:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:25:00,12:25:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:30:00,12:30:00,kokubunji_iriguchi,3,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:33:00,12:33:00,kuramibashi,4,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:50:00,12:50:00,nakamura,5,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:54:00,12:54:00,nishimura,6,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_02_1153,12:58:00,12:58:00,igo,7,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,14:51:00,14:51:00,eigyosho,1,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,14:55:00,14:55:00,oki_hospital,2,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,15:00:00,15:00:00,kokubunji_iriguchi,3,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,15:03:00,15:03:00,kuramibashi,4,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,15:20:00,15:20:00,nakamura,5,,0,0,1
OKI_ICHIBATA_NAKAMURA_0_03_1451,15:24:00,15:24:00,nishimura,6,,0,0,1
